gateway,tier,clii_score,regulatory_license,reserve_transparency,freeze_capability,compliance_infra,geo_restrictions,notes
Circle (USDC),Tier1,0.92,NYDFS BitLicense + 49 state MTLs,Monthly attestations by Deloitte,Yes - admin blacklist function,Full KYC/AML/OFAC,OFAC compliant,"Primary regulated issuer, SVB exposure in March 2023"
Paxos (USDP/PYUSD),Tier1,0.88,NYDFS trust charter,Monthly attestations,Yes - admin freeze,Full KYC/AML,OFAC compliant,Issues PYUSD for PayPal
Coinbase,Tier1,0.85,NYDFS BitLicense + state licenses,Quarterly reports,Custody controls,Full KYC/AML,US-focused,Primary US retail gateway
Gemini,Tier1,0.82,NYDFS trust charter,SOC 2 audits,Custody controls,Full KYC/AML,US-focused,Gemini Dollar issuer
Tether (USDT),Tier2,0.45,No US license,Quarterly attestations (BDO),Yes - admin blacklist,Limited KYC,No OFAC compliance,"Largest by mcap, offshore operations"
Binance (pre-2024),Tier2,0.38,No US license (pre-settlement),Limited transparency,Exchange controls,Partial KYC,Global,DOJ settlement 2024 changed status
Kraken,Tier2,0.58,State MTLs,Proof of reserves,Exchange controls,KYC/AML,US + global,SEC settlement 2023
OKX,Tier2,0.35,No US license,Limited,Exchange controls,Variable KYC,Non-US,Offshore exchange
Uniswap,Tier3,0.15,None,N/A (AMM),None - permissionless,None,None,Decentralized AMM
Curve,Tier3,0.18,None,N/A (AMM),None - permissionless,None,None,Stablecoin-focused AMM
Aave,Tier3,0.20,None,On-chain transparent,Governance only,None,None,Lending protocol
Tornado Cash,Tier3,0.02,None (OFAC sanctioned),N/A,None,None,OFAC sanctioned,Sanctioned August 2022
